team,odds,week
Bills,-137,2
Jets,116,2
Vikings,253,2
Eagles,-324,2
Ravens,150,2
Bengals,-178,2
Bears,135,2
Buccaneers,-159,2
Packers,-120,2
Falcons,-100,2
Colts,-121,2
Texans,101,2
Chiefs,-157,2
Jaguars,133,2
Chargers,-166,2
Titans,139,2
Raiders,375,2
Bills,-500,2
Seahawks,203,2
Lions,-250,2
Giants,-206,2
Cardinals,171,2
49ers,-357,2
Rams,278,2
Jets,145,2
Cowboys,-175,2
Commanders,157,2
Broncos,-187,2
Dolphins,-136,2
Patriots,115,2
Saints,-170,2
Panthers,143,2
Browns,-128,2
Steelers,108,2
Giants,195,2
49ers,-238,2
Falcons,180,2
Lions,-218,2
Bills,-192,2
Commanders,160,2
